,herocompare,herocompare_name,itemhero,itemhero_name,skill,skill_WR,tandem_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4
0,2,Axe,1,Anti-Mage,E,0.4782608695652174,0.47688060731538995,63.0,0.4465116279069767,Power Treads,48.0,0.6842105263157895,Boots of Travel,143.0,0.535593220338983,Skull Basher,81.0,0.55,Vladmir's Offering,147.0,0.5915619389587073,Manta Style
1,3,Bane,1,Anti-Mage,Q,0.5517241379310345,0.49104859335038364,63.0,0.4523026315789473,Power Treads,48.0,0.7142857142857143,Boots of Travel,143.0,0.5380116959064327,Skull Basher,147.0,0.580952380952381,Manta Style,145.0,0.4959239130434783,Battle Fury
2,4,Bloodseeker,1,Anti-Mage,W,0.4869565217391305,0.46108490566037735,63.0,0.4082605242255758,Power Treads,48.0,0.7147435897435898,Boots of Travel,247.0,0.9714285714285714,Moon Shard,143.0,0.5281173594132029,Skull Basher,81.0,0.5421853388658368,Vladmir's Offering
3,5,Crystal Maiden,1,Anti-Mage,W,0.4664723032069971,0.43028953229398664,63.0,0.3899026763990268,Power Treads,48.0,0.6868421052631579,Boots of Travel,143.0,0.4965197215777262,Skull Basher,147.0,0.5782227784730913,Manta Style,145.0,0.4480582524271844,Battle Fury
4,6,Drow Ranger,1,Anti-Mage,Q,0.4816753926701571,0.4067300658376006,63.0,0.3719332679097154,Power Treads,48.0,0.69377990430622,Boots of Travel,143.0,0.5217391304347826,Skull Basher,147.0,0.5630252100840336,Manta Style,145.0,0.4211369095276221,Battle Fury
5,7,Earthshaker,1,Anti-Mage,W,0.497907949790795,0.4473331546502278,63.0,0.395825836631882,Power Treads,48.0,0.6867977528089888,Boots of Travel,143.0,0.4940191387559809,Skull Basher,81.0,0.49338146811071,Vladmir's Offering,145.0,0.4523068213982451,Battle Fury
6,8,Juggernaut,1,Anti-Mage,W,0.4900924702774108,0.44479661912308505,63.0,0.4066352835687065,Power Treads,48.0,0.681766704416761,Boots of Travel,143.0,0.4794290512174643,Skull Basher,81.0,0.5053550178500595,Vladmir's Offering,145.0,0.4544611389352625,Battle Fury
7,9,Mirana,1,Anti-Mage,W,0.4486754966887417,0.43615968327284727,63.0,0.3851590106007067,Power Treads,48.0,0.6636197440585009,Boots of Travel,81.0,0.4976228209191759,Vladmir's Offering,145.0,0.4450724125750618,Battle Fury,147.0,0.539662447257384,Manta Style
8,10,Morphling,1,Anti-Mage,Q,0.5521472392638037,0.510932944606414,63.0,0.4764649375600384,Power Treads,48.0,0.7058823529411765,Boots of Travel,81.0,0.5830564784053156,Vladmir's Offering,147.0,0.6153153153153154,Manta Style,145.0,0.5192604006163328,Battle Fury
9,11,Shadow Fiend,1,Anti-Mage,Q,0.5030120481927711,0.4677011909058102,63.0,0.4299287410926366,Power Treads,48.0,0.6724511930585684,Boots of Travel,143.0,0.5168539325842697,Skull Basher,81.0,0.5368248772504092,Vladmir's Offering,147.0,0.5817330210772834,Manta Style
10,12,Phantom Lancer,1,Anti-Mage,W,0.53125,0.5205855443732845,63.0,0.4719101123595505,Power Treads,48.0,0.7586206896551724,Boots of Travel,143.0,0.6204081632653061,Skull Basher,147.0,0.6347926267281107,Manta Style,145.0,0.5272206303724928,Battle Fury
11,13,Puck,1,Anti-Mage,W,0.5697674418604651,0.5423728813559322,63.0,0.5180240320427236,Power Treads,48.0,0.7071823204419889,Boots of Travel,81.0,0.6155507559395248,Vladmir's Offering,143.0,0.5887445887445888,Skull Basher,147.0,0.6410891089108911,Manta Style
12,14,Pudge,1,Anti-Mage,Q,0.4662576687116564,0.44658620068456134,63.0,0.4010541447053186,Power Treads,48.0,0.6863543788187373,Boots of Travel,143.0,0.4851316907391674,Skull Basher,147.0,0.573282075925036,Manta Style,145.0,0.4577803423735334,Battle Fury
13,15,Razor,1,Anti-Mage,E,0.7777777777777778,0.5539112050739958,63.0,0.5289017341040463,Power Treads,48.0,0.7227722772277227,Boots of Travel,247.0,0.9565217391304348,Moon Shard,81.0,0.6305418719211823,Vladmir's Offering,147.0,0.6505102040816326,Manta Style
14,16,Sand King,1,Anti-Mage,W,0.5111111111111111,0.4740983606557377,63.0,0.4293193717277487,Power Treads,48.0,0.6679245283018868,Boots of Travel,81.0,0.5366614664586583,Vladmir's Offering,147.0,0.5747126436781609,Manta Style,145.0,0.4829742876997915,Battle Fury
15,17,Storm Spirit,1,Anti-Mage,W,0.6022727272727273,0.5726666666666667,63.0,0.5311387900355872,Power Treads,48.0,0.7542662116040956,Boots of Travel,147.0,0.6589456869009584,Manta Style,143.0,0.5965417867435159,Skull Basher,145.0,0.581805359661495,Battle Fury
16,18,Sven,1,Anti-Mage,E,0.4576271186440678,0.409260642270351,63.0,0.3612903225806451,Power Treads,48.0,0.6588486140724946,Boots of Travel,143.0,0.4174228675136116,Skull Basher,145.0,0.4191235059760956,Battle Fury,81.0,0.4618117229129662,Vladmir's Offering
17,19,Tiny,1,Anti-Mage,Q,0.5792682926829268,0.5057553956834533,63.0,0.465183752417795,Power Treads,48.0,0.6628352490421456,Boots of Travel,143.0,0.5356037151702786,Skull Basher,81.0,0.5632377740303541,Vladmir's Offering,147.0,0.600896860986547,Manta Style
18,20,Vengeful Spirit,1,Anti-Mage,W,0.4326241134751773,0.4174503657262278,63.0,0.3782138024357239,Power Treads,48.0,0.67,Boots of Travel,143.0,0.4679802955665024,Skull Basher,81.0,0.488257107540173,Vladmir's Offering,145.0,0.4406108597285068,Battle Fury
19,21,Windranger,1,Anti-Mage,W,0.5125827814569537,0.46984572230014027,63.0,0.4328278797552541,Power Treads,48.0,0.6736596736596736,Boots of Travel,143.0,0.4966887417218543,Skull Basher,147.0,0.5751348574364243,Manta Style,81.0,0.5192127460168697,Vladmir's Offering
20,22,Zeus,1,Anti-Mage,W,0.4715719063545151,0.4329896907216495,63.0,0.3819004524886878,Power Treads,48.0,0.6376089663760897,Boots of Travel,145.0,0.439667458432304,Battle Fury,147.0,0.5347440663425793,Manta Style,81.0,0.4705882352941176,Vladmir's Offering
21,23,Kunkka,1,Anti-Mage,E,0.5789473684210527,0.4857142857142857,63.0,0.4292993630573249,Power Treads,48.0,0.7115384615384616,Boots of Travel,143.0,0.5041666666666667,Skull Basher,147.0,0.6045673076923077,Manta Style,81.0,0.5417558886509636,Vladmir's Offering
22,25,Lina,1,Anti-Mage,W,0.53954802259887,0.5292418772563177,63.0,0.4887720974677496,Power Treads,48.0,0.7123287671232876,Boots of Travel,147.0,0.6323861073522778,Manta Style,81.0,0.5949696444058976,Vladmir's Offering,145.0,0.5398230088495575,Battle Fury
23,26,Lion,1,Anti-Mage,Q,0.4928131416837782,0.4708204116154497,63.0,0.4305606449248809,Power Treads,48.0,0.7013651877133106,Boots of Travel,143.0,0.5141318977119784,Skull Basher,81.0,0.532587228439763,Vladmir's Offering,147.0,0.5811594202898551,Manta Style
24,27,Shadow Shaman,1,Anti-Mage,W,0.4598214285714285,0.4144084600132188,63.0,0.3728070175438596,Power Treads,48.0,0.657258064516129,Boots of Travel,143.0,0.4905063291139241,Skull Basher,81.0,0.4858044164037855,Vladmir's Offering,145.0,0.42524682651622,Battle Fury
25,28,Slardar,1,Anti-Mage,W,0.3954659949622166,0.37324744221295947,63.0,0.3351703406813627,Power Treads,48.0,0.62004662004662,Boots of Travel,143.0,0.4377289377289377,Skull Basher,81.0,0.4518181818181818,Vladmir's Offering,145.0,0.384771986970684,Battle Fury
26,29,Tidehunter,1,Anti-Mage,Q,0.4695121951219512,0.45468873128447596,63.0,0.407098121085595,Power Treads,48.0,0.6304347826086957,Boots of Travel,247.0,0.9423076923076923,Moon Shard,145.0,0.4624472573839662,Battle Fury,81.0,0.4981684981684982,Vladmir's Offering
27,30,Witch Doctor,1,Anti-Mage,E,0.5,0.43535620052770446,63.0,0.3914067098293114,Power Treads,48.0,0.6435643564356436,Boots of Travel,143.0,0.4948453608247423,Skull Basher,81.0,0.5030487804878049,Vladmir's Offering,145.0,0.4499054820415879,Battle Fury
