name,skillname,skillurl
Earthshaker,Fissure,/static/earthshaker_fissure_hp1.png
Earthshaker,Enchant Totem,/static/earthshaker_enchant_totem_hp1.png
Earthshaker,Aftershock,/static/earthshaker_aftershock_hp1.png
Sven,Storm Hammer,/static/sven_storm_bolt_hp1.png
Sven,Great Cleave,/static/sven_great_cleave_hp1.png
Sven,Warcry,/static/sven_warcry_hp1.png
Tiny,Avalanche,/static/tiny_avalanche_hp1.png
Tiny,Toss,/static/tiny_toss_hp1.png
Tiny,Craggy Exterior,/static/tiny_craggy_exterior_hp1.png
Kunkka,Torrent,/static/kunkka_torrent_hp1.png
Kunkka,Tidebringer,/static/kunkka_tidebringer_hp1.png
Kunkka,X Marks the Spot,/static/kunkka_x_marks_the_spot_hp1.png
Beastmaster,Wild Axes,/static/beastmaster_wild_axes_hp1.png
Beastmaster,Call of the Wild: Hawk,/static/beastmaster_call_of_the_wild_hp1.png
Beastmaster,Call of the Wild: Boar,/static/beastmaster_call_of_the_wild_boar_hp1.png
Dragon Knight,Breathe Fire,/static/dragon_knight_breathe_fire_hp1.png
Dragon Knight,Dragon Tail,/static/dragon_knight_dragon_tail_hp1.png
Dragon Knight,Dragon Blood,/static/dragon_knight_dragon_blood_hp1.png
Clockwerk,Battery Assault,/static/rattletrap_battery_assault_hp1.png
Clockwerk,Power Cogs,/static/rattletrap_power_cogs_hp1.png
Clockwerk,Rocket Flare,/static/rattletrap_rocket_flare_hp1.png
Omniknight,Purification,/static/omniknight_purification_hp1.png
Omniknight,Repel,/static/omniknight_repel_hp1.png
Omniknight,Degen Aura,/static/omniknight_degen_aura_hp1.png
Huskar,Inner Vitality,/static/huskar_inner_vitality_hp1.png
Huskar,Burning Spear,/static/huskar_burning_spear_hp1.png
Huskar,Berserker's Blood,/static/huskar_berserkers_blood_hp1.png
Alchemist,Acid Spray,/static/alchemist_acid_spray_hp1.png
Alchemist,Unstable Concoction,/static/alchemist_unstable_concoction_hp1.png
Alchemist,Greevil's Greed,/static/alchemist_goblins_greed_hp1.png
Brewmaster,Thunder Clap,/static/brewmaster_thunder_clap_hp1.png
Brewmaster,Drunken Haze,/static/brewmaster_drunken_haze_hp1.png
Brewmaster,Drunken Brawler,/static/brewmaster_drunken_brawler_hp1.png
Treant Protector,Natures Guise,/static/treant_natures_guise_hp1.png
Treant Protector,Leech Seed,/static/treant_leech_seed_hp1.png
Treant Protector,Living Armor,/static/treant_living_armor_hp1.png
Io,Tether,/static/wisp_tether_hp1.png
Io,Break Tether,/static/wisp_tether_break_hp1.png
Io,Spirits,/static/wisp_spirits_hp1.png
Centaur Warrunner,Hoof Stomp,/static/centaur_hoof_stomp_hp1.png
Centaur Warrunner,Double Edge,/static/centaur_double_edge_hp1.png
Centaur Warrunner,Return,/static/centaur_return_hp1.png
