index,hero,hero_name,solo_WR,friend0,friend_WR0,friend1,friend_WR1,friend2,friend_WR2,frenemy3,frenemy_WR3,frenemy4,frenemy_WR4,frenemy5,frenemy_WR5,skill,skill_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4
1,1,Anti-Mage,0.4551707461242914,1,0.5280898876404494,1,0.5192622950819672,1,0.5248447204968945,1,0.31216931216931215,1,0.33620689655172414,1,0.35051546391752575,W,0.4779059449866903,63,0.4125602140945585,Power Treads,48,0.6777052238805971,Boots of Travel,81,0.5137185484890631,Vladmir's Offering,147,0.5690360476906402,Manta Style,145,0.4659556778762077,Battle Fury
2,2,Axe,0.44798609098811937,2,0.578062449959968,2,0.5478260869565217,2,0.5324384787472036,2,0.32142857142857145,2,0.3333333333333333,2,0.3524229074889868,E,0.480614300100705,214,0.4003207500616827,Tranquil Boots,48,0.7429065743944636,Boots of Travel,1,0.4577751016107181,Blink Dagger,127,0.4691091534916282,Blade Mail,36,0.3307692307692308,Magic Wand
3,3,Bane,0.4507303501043357,3,0.5423728813559322,3,0.5,3,0.5376344086021505,3,0.13333333333333333,3,0.2608695652173913,3,0.34,Q,0.4496815286624204,180,0.4420630771911483,Arcane Boots,36,0.43600162535554654,Magic Wand,178,0.39735401459854014,Soul Ring,232,0.5314054726368159,Aether Lens,31,0.18181818181818185,Cloak
4,4,Bloodseeker,0.4661596373972498,4,0.56797583081571,4,0.5094339622641509,4,0.569023569023569,4,0.3283582089552239,4,0.34801762114537443,4,0.3389830508474576,E,0.496276991809382,63,0.4380994377687135,Power Treads,48,0.7300613496932515,Boots of Travel,127,0.4688548504741065,Blade Mail,152,0.4162228594838181,Shadow Blade,36,0.39457567804024496,Magic Wand
5,5,Crystal Maiden,0.5308779476150242,5,0.6416808631459399,5,0.6465721040189125,5,0.6049382716049383,5,0.4,5,0.43548387096774194,5,0.4163265306122449,E,0.5441463414634147,214,0.5157226963625576,Tranquil Boots,36,0.5035442373326332,Magic Wand,1,0.6330516581632653,Blink Dagger,254,0.5595503440255839,Glimmer Cape,48,0.8514219384793964,Boots of Travel
6,6,Drow Ranger,0.5044330088660177,6,0.6182212581344902,6,0.6279329608938548,6,0.56,6,0.34444444444444444,6,0.3895705521472393,6,0.38524590163934425,Q,0.5010033444816053,63,0.4805404968039486,Power Treads,152,0.4830306825297433,Shadow Blade,236,0.5404208194905871,Dragon Lance,212,0.4561670654774853,Ring of Aquila,164,0.5239097744360902,Helm of the Dominator
7,7,Earthshaker,0.5022781047732651,7,0.5948275862068966,7,0.6080508474576272,7,0.6089030206677265,7,0.4234177215189873,7,0.4222222222222222,7,0.4228529839883552,E,0.510705289672544,180,0.4946733340580498,Arcane Boots,36,0.4726847794332457,Magic Wand,1,0.5267059494392701,Blink Dagger,178,0.4472179458983945,Soul Ring,102,0.5873783193166016,Force Staff
8,8,Juggernaut,0.523033205704604,8,0.5853500432152118,8,0.6121511833274461,8,0.5908319185059423,8,0.406494960806271,8,0.4064665127020785,8,0.4262295081967213,W,0.5313598729726664,50,0.4913068528434895,Phase Boots,48,0.7442995214413062,Boots of Travel,36,0.3907576927318849,Magic Wand,145,0.5516336002070891,Battle Fury,143,0.5561370926895155,Skull Basher
9,9,Mirana,0.520135335864004,9,0.6415552855407047,9,0.6197312156383629,9,0.6226851851851852,9,0.41317365269461076,9,0.39473684210526316,9,0.4152334152334152,Q,0.5186093158012035,36,0.4676388109927089,Magic Wand,212,0.4932468220338983,Ring of Aquila,48,0.7483944954128441,Boots of Travel,63,0.4832407584753878,Power Treads,180,0.4938340807174888,Arcane Boots
10,10,Morphling,0.4584924736014378,10,0.5512820512820513,10,0.5535549399815328,10,0.567318757192175,10,0.31547619047619047,10,0.33877551020408164,10,0.36904761904761907,Q,0.4576351191881048,63,0.4071255060728745,Power Treads,48,0.6707882534775889,Boots of Travel,212,0.3764552150154431,Ring of Aquila,36,0.3196413074920451,Magic Wand,176,0.5835085037263521,Ethereal Blade
11,11,Shadow Fiend,0.4766082668047192,11,0.5447223399745655,11,0.5663251904386656,11,0.5747991967871486,11,0.34934497816593885,11,0.364,11,0.33969465648854963,Q,0.4926481508985594,63,0.4226283048211509,Power Treads,48,0.6542045828308299,Boots of Travel,41,0.28823210412147504,Bottle,152,0.44680851063829785,Shadow Blade,212,0.36113125453226974,Ring of Aquila
12,12,Phantom Lancer,0.444220517487973,12,0.5445205479452054,12,0.5383177570093458,12,0.5284403669724771,12,0.3188405797101449,12,0.32947976878612717,12,0.3188405797101449,Q,0.4348639102430916,48,0.5691239534408822,Boots of Travel,63,0.3955399061032864,Power Treads,212,0.3877833535213705,Ring of Aquila,36,0.3383783783783784,Magic Wand,174,0.3937290569650551,Diffusal Blade
13,13,Puck,0.4332887805645098,13,0.5522193211488251,13,0.4909090909090909,13,0.5121951219512195,13,0.3157894736842105,13,0.321875,13,0.314070351758794,W,0.463254593175853,41,0.3703313253012048,Bottle,36,0.3488224061107575,Magic Wand,63,0.4026587153683687,Power Treads,1,0.44860283628429976,Blink Dagger,48,0.6910282258064516,Boots of Travel
14,14,Pudge,0.5165561227737393,14,0.6326530612244898,14,0.6225879682179342,14,0.6007127934128057,14,0.4004106776180698,14,0.40447154471544716,14,0.4173076923076923,W,0.5196618252763928,214,0.4779581410678972,Tranquil Boots,48,0.7624871178289248,Boots of Travel,41,0.4538733125649014,Bottle,36,0.45188931029639,Magic Wand,92,0.5057759037202969,Urn of Shadows
15,15,Razor,0.4411121524523586,15,0.5848101265822785,15,0.5402298850574713,15,0.5245901639344263,15,0.24285714285714285,15,0.2826086956521739,15,0.3283582089552239,W,0.4353369763205829,36,0.3628185907046477,Magic Wand,63,0.4133545310015898,Power Treads,212,0.41025641025641024,Ring of Aquila,79,0.4485842026825633,Mekansm,50,0.4186746987951807,Phase Boots
16,16,Sand King,0.4913918586558249,16,0.6492829204693612,16,0.610126582278481,16,0.5369127516778524,16,0.3591549295774648,16,0.3643410852713178,16,0.36046511627906974,W,0.4992283950617284,180,0.460738013287441,Arcane Boots,36,0.4234717685487634,Magic Wand,48,0.7443216697360344,Boots of Travel,1,0.5017393194912491,Blink Dagger,232,0.5663566094589283,Aether Lens
17,17,Storm Spirit,0.4391759062672014,17,0.5656565656565656,17,0.53156146179402,17,0.5616438356164384,17,0.30833333333333335,17,0.2980769230769231,17,0.3333333333333333,E,0.4797427652733119,41,0.3354274788309205,Bottle,63,0.4170390229371463,Power Treads,48,0.7430555555555556,Boots of Travel,36,0.3198847262247839,Magic Wand,98,0.4777341947392709,Orchid Malevolence
18,18,Sven,0.5338584779706275,18,0.6676372712146422,18,0.6427604871447903,18,0.6169212690951822,18,0.4482758620689655,18,0.45652173913043476,18,0.44618215271389144,W,0.5567151198906697,63,0.4880851782998141,Power Treads,48,0.7716509892961402,Boots of Travel,1,0.5841308115439681,Blink Dagger,164,0.5280802445958268,Helm of the Dominator,116,0.5782984475484373,Black King Bar
19,19,Tiny,0.4354620272945097,19,0.5383211678832117,19,0.5583756345177665,19,0.5196599362380446,19,0.27835051546391754,19,0.2831050228310502,19,0.31125827814569534,W,0.4451630288331986,63,0.4116591161637747,Power Treads,48,0.7361466325660699,Boots of Travel,36,0.2781780751415337,Magic Wand,1,0.4461621185643232,Blink Dagger,41,0.3103030303030303,Bottle
20,20,Vengeful Spirit,0.5378452708358245,20,0.6419068736141907,20,0.6041412911084044,20,0.6477732793522267,20,0.3879781420765027,20,0.425531914893617,20,0.4166666666666667,E,0.547752808988764,36,0.5154848355403674,Magic Wand,180,0.5398402839396628,Arcane Boots,187,0.4456029011786038,Medallion of Courage,63,0.5163121932441536,Power Treads,212,0.5198879551820729,Ring of Aquila
21,21,Windranger,0.4654090128188186,21,0.5173745173745173,21,0.5540398740818469,21,0.5777632865992827,21,0.34507042253521125,21,0.34615384615384615,21,0.3669006479481641,W,0.4603936954610025,50,0.4317443014813229,Phase Boots,48,0.7641495916320391,Boots of Travel,41,0.3820383301143961,Bottle,36,0.3587825906305183,Magic Wand,166,0.4645998378142349,Maelstrom
22,22,Zeus,0.5727332782824113,22,0.6351351351351351,22,0.6737550471063257,22,0.6679418515684774,22,0.42207792207792205,22,0.47368421052631576,22,0.4733044733044733,W,0.5669300625073711,180,0.5386315443657975,Arcane Boots,48,0.7661245973760704,Boots of Travel,41,0.5039852851011649,Bottle,178,0.4732740943267259,Soul Ring,232,0.6004791923515318,Aether Lens
23,23,Kunkka,0.4718586855467353,23,0.6058631921824105,23,0.5945945945945946,23,0.5416666666666666,23,0.36059479553903345,23,0.3895705521472393,23,0.373134328358209,E,0.5285379202501954,36,0.4282637954239569,Magic Wand,50,0.4241927936359382,Phase Boots,48,0.6986774008050604,Boots of Travel,180,0.4881266490765172,Arcane Boots,152,0.41821764834683595,Shadow Blade
25,25,Lina,0.4370782350760104,25,0.5393864013266998,25,0.49748743718592964,25,0.4908814589665654,25,0.32860520094562645,25,0.352112676056338,25,0.3631123919308357,Q,0.439103481163567,48,0.6910098522167488,Boots of Travel,180,0.4007025467319032,Arcane Boots,36,0.3587197757271347,Magic Wand,41,0.3288644322161081,Bottle,50,0.3833687053829829,Phase Boots
26,26,Lion,0.4735775232168953,26,0.562992125984252,26,0.5667828106852497,26,0.5690817186183657,26,0.3660377358490566,26,0.3868194842406877,26,0.390625,Q,0.4805928016937192,214,0.4585354381632713,Tranquil Boots,36,0.4505605155400416,Magic Wand,1,0.5449056102982648,Blink Dagger,37,0.5318213783403657,Ghost Scepter,79,0.5015213889386074,Mekansm
27,27,Shadow Shaman,0.515921329899321,27,0.6108374384236454,27,0.6314496314496314,27,0.5964125560538116,27,0.35714285714285715,27,0.3918918918918919,27,0.4171779141104294,E,0.5479840999432141,36,0.4906079234972678,Magic Wand,180,0.5021299254526091,Arcane Boots,1,0.5961998803111909,Blink Dagger,108,0.6546064038839441,Aghanim's Scepter,48,0.7653910149750416,Boots of Travel
