,herocompare,herocompare_name,itemhero,itemhero_name,skill,skill_WR,tandem_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4,item5,item_WR5,item_name5
0,2,Axe,1,Anti-Mage,W,0.4695340501792115,0.41825613079019075,63.0,0.3785971223021583,Power Treads,145.0,0.4245562130177515,Battle Fury,143.0,0.4417808219178082,Skull Basher,147.0,0.5408921933085502,Manta Style,81.0,0.4765217391304348,Vladmir's Offering,48.0,0.6367713004484304,Boots of Travel
1,3,Bane,1,Anti-Mage,W,0.4916666666666666,0.4583333333333333,63.0,0.4112478031634446,Power Treads,145.0,0.4673295454545455,Battle Fury,81.0,0.5294117647058824,Vladmir's Offering,143.0,0.4393063583815029,Skull Basher,147.0,0.5510887772194305,Manta Style,48.0,0.6833333333333333,Boots of Travel
2,4,Bloodseeker,1,Anti-Mage,W,0.5084745762711864,0.41709183673469385,63.0,0.3758741258741259,Power Treads,145.0,0.4227086183310533,Battle Fury,143.0,0.4733727810650887,Skull Basher,48.0,0.6298701298701299,Boots of Travel,81.0,0.4740061162079511,Vladmir's Offering,147.0,0.5341296928327645,Manta Style
3,5,Crystal Maiden,1,Anti-Mage,Q,0.5277777777777778,0.4801530368244859,63.0,0.4515715202052598,Power Treads,145.0,0.4852941176470588,Battle Fury,143.0,0.5020408163265306,Skull Basher,81.0,0.5334051724137931,Vladmir's Offering,147.0,0.5713432835820895,Manta Style,48.0,0.6207865168539326,Boots of Travel
4,6,Drow Ranger,1,Anti-Mage,Q,0.4632352941176471,0.42292490118577075,63.0,0.3944153577661431,Power Treads,145.0,0.4469914040114613,Battle Fury,36.0,0.4242424242424243,Magic Wand,143.0,0.5454545454545454,Skull Basher,81.0,0.5146198830409356,Vladmir's Offering,147.0,0.584493041749503,Manta Style
5,7,Earthshaker,1,Anti-Mage,W,0.4990958408679927,0.4586233565351895,63.0,0.4068627450980392,Power Treads,145.0,0.4688095886679379,Battle Fury,48.0,0.7037552155771906,Boots of Travel,81.0,0.5143358689291984,Vladmir's Offering,143.0,0.5025510204081632,Skull Basher,147.0,0.5737976782752903,Manta Style
6,8,Juggernaut,1,Anti-Mage,W,0.4508196721311475,0.4440538957234915,63.0,0.4146919431279621,Power Treads,145.0,0.4632258064516129,Battle Fury,143.0,0.6,Skull Basher,147.0,0.6145203111495247,Manta Style,81.0,0.5166908563134979,Vladmir's Offering,48.0,0.6749116607773852,Boots of Travel
7,9,Mirana,1,Anti-Mage,W,0.5065913370998116,0.4778761061946903,63.0,0.4325452016689847,Power Treads,145.0,0.4886158294181424,Battle Fury,48.0,0.6786941580756014,Boots of Travel,143.0,0.5129032258064516,Skull Basher,81.0,0.5371702637889688,Vladmir's Offering,147.0,0.5713680643795002,Manta Style
8,10,Morphling,1,Anti-Mage,Q,0.4285714285714285,0.3875,63.0,0.3483412322274881,Power Treads,145.0,0.3957115009746588,Battle Fury,143.0,0.4495412844036697,Skull Basher,81.0,0.4716157205240175,Vladmir's Offering,147.0,0.5097560975609756,Manta Style,48.0,0.6091954022988506,Boots of Travel
9,11,Shadow Fiend,1,Anti-Mage,W,0.4707446808510639,0.42707958228303927,63.0,0.3871273071462376,Power Treads,145.0,0.4397705544933078,Battle Fury,143.0,0.4642262895174709,Skull Basher,81.0,0.4978723404255319,Vladmir's Offering,147.0,0.5444015444015444,Manta Style,48.0,0.6546610169491526,Boots of Travel
