,champcompare,champcompare_name,itemchamp,itemchamp_name,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4
0,2,Galio,1,DrMundo,3020.0,0.563011456628478,Sorcerer's Shoes,3165.0,0.5546218487394958,Morellonomicon,3027.0,0.5516129032258065,Rod of Ages,3116.0,0.5603448275862069,Rylai's Crystal Scepter,3285.0,0.572429906542056,Luden's Echo
1,3,Jax,1,DrMundo,3020.0,0.4379562043795621,Sorcerer's Shoes,3116.0,0.6046511627906976,Rylai's Crystal Scepter,3165.0,0.4121212121212121,Morellonomicon,3027.0,0.44,Rod of Ages,3157.0,0.5,Zhonya's Hourglass
2,4,Olaf,1,DrMundo,3020.0,0.5708884688090737,Sorcerer's Shoes,3027.0,0.6009174311926605,Rod of Ages,3116.0,0.6132075471698113,Rylai's Crystal Scepter,3165.0,0.5204236006051437,Morellonomicon,3285.0,0.5886157826649417,Luden's Echo
3,5,Viktor,1,DrMundo,3020.0,0.5592982456140351,Sorcerer's Shoes,3165.0,0.5497787610619469,Morellonomicon,3027.0,0.5668874172185431,Rod of Ages,3116.0,0.6186612576064908,Rylai's Crystal Scepter,3285.0,0.5717111770524234,Luden's Echo
4,6,Katarina,1,DrMundo,3020.0,0.5763546798029556,Sorcerer's Shoes,3165.0,0.5862068965517241,Morellonomicon,3027.0,0.5907335907335908,Rod of Ages,3116.0,0.6170212765957447,Rylai's Crystal Scepter,3285.0,0.5824915824915825,Luden's Echo
5,7,Kassadin,1,DrMundo,3020.0,0.5733082706766918,Sorcerer's Shoes,3165.0,0.5813692480359147,Morellonomicon,3116.0,0.6351606805293005,Rylai's Crystal Scepter,3027.0,0.561091340450771,Rod of Ages,3001.0,0.5670103092783505,Abyssal Scepter
6,8,Jhin,1,DrMundo,3020.0,0.5885714285714285,Sorcerer's Shoes,3165.0,0.5805785123966942,Morellonomicon,3116.0,0.6343042071197411,Rylai's Crystal Scepter,3027.0,0.5774946921443737,Rod of Ages,3285.0,0.5992844364937389,Luden's Echo
7,9,Kayle,1,DrMundo,3020.0,0.5234619395203337,Sorcerer's Shoes,3165.0,0.4935064935064935,Morellonomicon,3027.0,0.5081081081081081,Rod of Ages,3116.0,0.5592705167173252,Rylai's Crystal Scepter,3285.0,0.5317577548005908,Luden's Echo
8,10,Garen,1,DrMundo,3020.0,0.5536723163841808,Sorcerer's Shoes,3165.0,0.5428571428571428,Morellonomicon,3027.0,0.5358851674641149,Rod of Ages,3116.0,0.5737051792828686,Rylai's Crystal Scepter,3285.0,0.5575396825396826,Luden's Echo
9,11,Karma,1,DrMundo,3020.0,0.5586652314316469,Sorcerer's Shoes,3165.0,0.5441176470588235,Morellonomicon,3027.0,0.567219152854512,Rod of Ages,3116.0,0.5858585858585859,Rylai's Crystal Scepter,3285.0,0.5865800865800865,Luden's Echo
10,12,Shen,1,DrMundo,3020.0,0.5424311926605505,Sorcerer's Shoes,3027.0,0.5524193548387096,Rod of Ages,3116.0,0.5956112852664577,Rylai's Crystal Scepter,3165.0,0.5163674762407603,Morellonomicon,3157.0,0.5637254901960784,Zhonya's Hourglass
11,13,Teemo,1,DrMundo,3020.0,0.6153846153846154,Sorcerer's Shoes,3027.0,0.6278118609406953,Rod of Ages,3165.0,0.5928030303030303,Morellonomicon,3116.0,0.5933734939759037,Rylai's Crystal Scepter,3285.0,0.6119162640901772,Luden's Echo
12,14,Zyra,1,DrMundo,3020.0,0.4577259475218659,Sorcerer's Shoes,3027.0,0.4848484848484849,Rod of Ages,3116.0,0.5421686746987951,Rylai's Crystal Scepter,3165.0,0.4350961538461539,Morellonomicon,3157.0,0.4755043227665706,Zhonya's Hourglass
13,15,Talon,1,DrMundo,3020.0,0.5331254871395168,Sorcerer's Shoes,3116.0,0.605427974947808,Rylai's Crystal Scepter,3027.0,0.5469845722300141,Rod of Ages,3165.0,0.520997375328084,Morellonomicon,3285.0,0.5711183496199783,Luden's Echo
14,16,Kalista,1,DrMundo,3020.0,0.5508345978755691,Sorcerer's Shoes,3027.0,0.5775034293552812,Rod of Ages,3116.0,0.6216216216216216,Rylai's Crystal Scepter,3165.0,0.55627425614489,Morellonomicon,3285.0,0.5981735159817352,Luden's Echo
15,17,Renekton,1,DrMundo,3020.0,0.512674599068805,Sorcerer's Shoes,3116.0,0.5756791720569211,Rylai's Crystal Scepter,3165.0,0.4854070660522273,Morellonomicon,3027.0,0.5116696588868941,Rod of Ages,3285.0,0.516983695652174,Luden's Echo
16,18,Thresh,1,DrMundo,3020.0,0.5761455525606469,Sorcerer's Shoes,3165.0,0.5697036223929748,Morellonomicon,3116.0,0.6285211267605634,Rylai's Crystal Scepter,3027.0,0.5689655172413793,Rod of Ages,3285.0,0.5981132075471698,Luden's Echo
17,19,Anivia,1,DrMundo,3020.0,0.517467248908297,Sorcerer's Shoes,3165.0,0.5335628227194492,Morellonomicon,3027.0,0.5596868884540117,Rod of Ages,3116.0,0.5578034682080925,Rylai's Crystal Scepter,3285.0,0.5290519877675841,Luden's Echo
18,20,Syndra,1,DrMundo,3020.0,0.6147368421052631,Sorcerer's Shoes,3165.0,0.5877437325905293,Morellonomicon,3027.0,0.6468253968253969,Rod of Ages,3116.0,0.6011560693641619,Rylai's Crystal Scepter,3285.0,0.6074498567335244,Luden's Echo
19,21,Vladimir,1,DrMundo,3020.0,0.5142045454545454,Sorcerer's Shoes,3165.0,0.509009009009009,Morellonomicon,3116.0,0.5691906005221932,Rylai's Crystal Scepter,3027.0,0.4916107382550335,Rod of Ages,3285.0,0.5338491295938105,Luden's Echo
20,22,Riven,1,DrMundo,3020.0,0.5159102764736567,Sorcerer's Shoes,3165.0,0.4917355371900827,Morellonomicon,3027.0,0.5283926852743022,Rod of Ages,3116.0,0.5694444444444444,Rylai's Crystal Scepter,3285.0,0.5224839400428265,Luden's Echo
21,23,Amumu,1,DrMundo,3020.0,0.5556640625,Sorcerer's Shoes,3165.0,0.5648967551622419,Morellonomicon,3116.0,0.6025974025974026,Rylai's Crystal Scepter,3027.0,0.5698324022346368,Rod of Ages,3285.0,0.5795755968169761,Luden's Echo
22,24,Diana,1,DrMundo,3020.0,0.5349127182044888,Sorcerer's Shoes,3165.0,0.5395299145299145,Morellonomicon,3116.0,0.5926544240400667,Rylai's Crystal Scepter,3027.0,0.5470183486238532,Rod of Ages,3285.0,0.5496323529411765,Luden's Echo
23,25,Warwick,1,DrMundo,3020.0,0.5494710640945862,Sorcerer's Shoes,3027.0,0.5466078323221181,Rod of Ages,3116.0,0.5964912280701754,Rylai's Crystal Scepter,3165.0,0.5202774813233725,Morellonomicon,3285.0,0.559765448804691,Luden's Echo
24,26,FiddleSticks,1,DrMundo,3020.0,0.5185185185185185,Sorcerer's Shoes,3165.0,0.5451807228915663,Morellonomicon,3027.0,0.54375,Rod of Ages,3116.0,0.5590909090909091,Rylai's Crystal Scepter,3285.0,0.5104166666666666,Luden's Echo
25,27,Xerath,1,DrMundo,3020.0,0.5275779376498801,Sorcerer's Shoes,3165.0,0.532319391634981,Morellonomicon,3116.0,0.5973154362416108,Rylai's Crystal Scepter,3027.0,0.5315315315315315,Rod of Ages,3157.0,0.585635359116022,Zhonya's Hourglass
26,28,Mordekaiser,1,DrMundo,3020.0,0.5890688259109311,Sorcerer's Shoes,3116.0,0.6530612244897959,Rylai's Crystal Scepter,3027.0,0.5907335907335908,Rod of Ages,3165.0,0.575091575091575,Morellonomicon,3285.0,0.5747800586510264,Luden's Echo
27,29,Blitzcrank,1,DrMundo,3020.0,0.5179180887372014,Sorcerer's Shoes,3165.0,0.5281899109792285,Morellonomicon,3027.0,0.5087719298245614,Rod of Ages,3116.0,0.5550755939524838,Rylai's Crystal Scepter,3285.0,0.5611038107752957,Luden's Echo
28,30,Skarner,1,DrMundo,3020.0,0.4961832061068702,Sorcerer's Shoes,3165.0,0.4895833333333333,Morellonomicon,3027.0,0.4588235294117647,Rod of Ages,3116.0,0.4918032786885246,Rylai's Crystal Scepter,3285.0,0.5219512195121951,Luden's Echo
29,31,Zed,1,DrMundo,3020.0,0.5241379310344828,Sorcerer's Shoes,3116.0,0.5877192982456141,Rylai's Crystal Scepter,3165.0,0.525,Morellonomicon,3027.0,0.5209580838323353,Rod of Ages,3285.0,0.5524126455906821,Luden's Echo
30,32,Ryze,1,DrMundo,3020.0,0.5069637883008357,Sorcerer's Shoes,3165.0,0.4964539007092199,Morellonomicon,3027.0,0.5012562814070352,Rod of Ages,3116.0,0.5454545454545454,Rylai's Crystal Scepter,3285.0,0.5005224660397074,Luden's Echo
31,33,Soraka,1,DrMundo,3020.0,0.4916512059369202,Sorcerer's Shoes,3027.0,0.5239616613418531,Rod of Ages,3165.0,0.4815950920245399,Morellonomicon,3116.0,0.5368421052631579,Rylai's Crystal Scepter,3157.0,0.5155038759689923,Zhonya's Hourglass
32,34,Aatrox,1,DrMundo,3020.0,0.5252100840336135,Sorcerer's Shoes,3165.0,0.5587188612099644,Morellonomicon,3027.0,0.5132450331125827,Rod of Ages,3116.0,0.6410256410256411,Rylai's Crystal Scepter,3285.0,0.5615141955835962,Luden's Echo
33,35,Trundle,1,DrMundo,3020.0,0.5360738255033557,Sorcerer's Shoes,3116.0,0.6263498920086393,Rylai's Crystal Scepter,3165.0,0.5407608695652174,Morellonomicon,3027.0,0.5372262773722628,Rod of Ages,3285.0,0.5791962174940898,Luden's Echo
34,36,Fiora,1,DrMundo,3020.0,0.5154185022026432,Sorcerer's Shoes,3165.0,0.5124716553287982,Morellonomicon,3027.0,0.5181058495821727,Rod of Ages,3285.0,0.5560253699788583,Luden's Echo,3116.0,0.5357142857142857,Rylai's Crystal Scepter
35,37,Chogath,1,DrMundo,3020.0,0.4912280701754386,Sorcerer's Shoes,3027.0,0.5078979343863913,Rod of Ages,3165.0,0.4764044943820225,Morellonomicon,3116.0,0.5389105058365758,Rylai's Crystal Scepter,3285.0,0.5015416238437821,Luden's Echo
36,38,Malzahar,1,DrMundo,3020.0,0.5444191343963554,Sorcerer's Shoes,3027.0,0.5905511811023622,Rod of Ages,3116.0,0.636986301369863,Rylai's Crystal Scepter,3165.0,0.5313807531380753,Morellonomicon,3285.0,0.5821428571428572,Luden's Echo
37,39,Nocturne,1,DrMundo,3020.0,0.5372848948374761,Sorcerer's Shoes,3027.0,0.5612244897959183,Rod of Ages,3116.0,0.5777202072538861,Rylai's Crystal Scepter,3165.0,0.5263157894736842,Morellonomicon,3157.0,0.5229007633587787,Zhonya's Hourglass
38,40,Bard,1,DrMundo,3020.0,0.5241935483870968,Sorcerer's Shoes,3027.0,0.5383333333333333,Rod of Ages,3165.0,0.5165016501650165,Morellonomicon,3116.0,0.5824468085106383,Rylai's Crystal Scepter,3285.0,0.547486033519553,Luden's Echo
39,41,Tryndamere,1,DrMundo,3020.0,0.5255172413793103,Sorcerer's Shoes,3165.0,0.5242290748898678,Morellonomicon,3116.0,0.5641891891891891,Rylai's Crystal Scepter,3027.0,0.5141388174807198,Rod of Ages,3285.0,0.5405405405405406,Luden's Echo
40,42,Ekko,1,DrMundo,3020.0,0.5606060606060606,Sorcerer's Shoes,3027.0,0.5818965517241379,Rod of Ages,3165.0,0.5482456140350878,Morellonomicon,3116.0,0.6187050359712231,Rylai's Crystal Scepter,3285.0,0.5618374558303887,Luden's Echo
