index,herocompare,item0,item1,item2,item3,item4,item5,itemhero,skill,item_WR0,item_name0,item_WR1,item_name1,item_WR2,item_name2,item_WR3,item_name3,item_WR4,item_name4,item_WR5,item_name5,skill_WR,herocompare_name,itemhero_name
0,1,1,127,214,242,125,114,2,W,0.201123714139538,Blink Dagger,0.06314640918212344,Blade Mail,0.20643427285439797,Tranquil Boots,0.8059200466351527,Crimson Guard,0.7192264623156213,Vanguard,0.34831854553994757,Heart of Tarrasque,0.09496581183068009,Anti-Mage,Axe
1,1,180,232,108,1,178,254,3,Q,0.5175499420080213,Arcane Boots,0.44354966469531887,Aether Lens,0.515066999464428,Aghanim's Scepter,0.01643844658253879,Blink Dagger,0.17310038367030833,Soul Ring,0.8172798521507043,Glimmer Cape,0.19622989453620243,Anti-Mage,Bane
2,1,63,154,127,116,152,137,4,E,0.21160281465043917,Power Treads,0.9235613416214703,Sange and Yasha,0.6506449105447585,Blade Mail,0.4359775652803204,Black King Bar,0.7993585170297682,Shadow Blade,0.4046484174008319,Radiance,0.6045894865563722,Anti-Mage,Bloodseeker
3,1,214,1,254,108,36,116,5,E,0.30566709703185424,Tranquil Boots,0.13296921702593334,Blink Dagger,0.0937977029728394,Glimmer Cape,0.9363530266203859,Aghanim's Scepter,0.5592168993517708,Magic Wand,0.19513486704280691,Black King Bar,0.42507080941876174,Anti-Mage,Crystal Maiden
4,1,63,152,164,212,147,141,6,Q,0.7662369984028173,Power Treads,0.9398989676854619,Shadow Blade,0.05401014663408166,Helm of the Dominator,0.08499688111209458,Ring of Aquila,0.16647176940318364,Manta Style,0.03102977462999923,Daedalus,0.10066153888224372,Anti-Mage,Drow Ranger
5,1,1,180,108,102,36,178,7,Q,0.3300027656119785,Blink Dagger,0.7644748950230935,Arcane Boots,0.1553399279220289,Aghanim's Scepter,0.018343009599143145,Force Staff,0.47409640870449254,Magic Wand,0.3374354719731195,Soul Ring,0.2377129492754687,Anti-Mage,Earthshaker
6,1,50,145,154,147,108,1,8,W,0.5165526761554033,Phase Boots,0.8763274226347669,Battle Fury,0.3316305536084949,Sange and Yasha,0.8627113764798421,Manta Style,0.3415196659184164,Aghanim's Scepter,0.7515640174264974,Blink Dagger,0.6345109570780886,Anti-Mage,Juggernaut
7,1,63,212,50,147,36,168,9,W,0.4750055255315355,Power Treads,0.774765500649717,Ring of Aquila,0.7416421711034651,Phase Boots,0.0655151100533583,Manta Style,0.6615135157250844,Magic Wand,0.10175880071729293,Desolator,0.7354685493768628,Anti-Mage,Mirana
8,1,63,123,176,212,147,160,10,E,0.5373042117776914,Power Treads,0.33078766235264934,Linken's Sphere,0.2988273502667971,Ethereal Blade,0.9079187307347144,Ring of Aquila,0.15936068758594935,Manta Style,0.7936579445555885,Eye of Skadi,0.607230778352095,Anti-Mage,Morphling
9,1,63,116,152,41,154,164,11,Q,0.4318568033530873,Power Treads,0.7155940781338864,Black King Bar,0.2990315430171605,Shadow Blade,0.6220187144996212,Bottle,0.8627953937881672,Sange and Yasha,0.8032753979137727,Helm of the Dominator,0.8339909491988682,Anti-Mage,Shadow Fiend
10,1,63,174,147,196,212,114,12,E,0.20398825649557717,Power Treads,0.46458445910499224,Diffusal Blade,0.7710804590399801,Manta Style,0.8348958736528689,Diffusal Blade,0.8948269146292603,Ring of Aquila,0.13541849295765251,Heart of Tarrasque,0.18106888119606124,Anti-Mage,Phantom Lancer
11,1,1,63,41,100,204,36,13,E,0.6208731124814887,Blink Dagger,0.44944413904000746,Power Treads,0.8335134619277134,Bottle,0.8465987055044543,Eul's Scepter of Divinity,0.2526660295455211,Dagon,0.8901936519691691,Magic Wand,0.5141284083830212,Anti-Mage,Puck
12,1,232,214,1,108,41,92,14,W,0.24491560722873074,Aether Lens,0.6767464712319016,Tranquil Boots,0.31692318334646274,Blink Dagger,0.8187630601835838,Aghanim's Scepter,0.9014414366702143,Bottle,0.5947653887739011,Urn of Shadows,0.2202654243863209,Anti-Mage,Pudge
13,1,63,154,212,108,116,79,15,E,0.09744668457628947,Power Treads,0.889506935470999,Sange and Yasha,0.7786790582427848,Ring of Aquila,0.4536419232986908,Aghanim's Scepter,0.9271849857475507,Black King Bar,0.36747170756296255,Mekansm,0.2950506355414051,Anti-Mage,Razor
14,1,1,180,108,232,36,102,16,W,0.6272338642075047,Blink Dagger,0.9834476982823098,Arcane Boots,0.5183159736097968,Aghanim's Scepter,0.7255386850184489,Aether Lens,0.32961165193174846,Magic Wand,0.7386608528188852,Force Staff,0.4927379981734693,Anti-Mage,Sand King
15,1,63,98,121,41,123,36,17,E,0.3097144724276035,Power Treads,0.6897301468777306,Orchid Malevolence,0.36617758232042263,Bloodstone,0.17446012192262417,Bottle,0.5714326897113464,Linken's Sphere,0.009612051134696764,Magic Wand,0.30339961526983394,Anti-Mage,Storm Spirit
16,1,63,1,116,141,164,172,18,E,0.03893610815069659,Power Treads,0.3466358649282041,Blink Dagger,0.04786228013849658,Black King Bar,0.8801654451949663,Daedalus,0.08464866914475211,Helm of the Dominator,0.2888456424482977,Mask of Madness,0.2589476307039593,Anti-Mage,Sven
17,1,108,1,63,247,41,112,19,W,0.35485656524187015,Aghanim's Scepter,0.5411316304250615,Blink Dagger,0.9328595786471062,Power Treads,0.22491596744146902,Moon Shard,0.818252223035056,Bottle,0.3559409725107673,Assault Cuirass,0.6153839474253959,Anti-Mage,Tiny
18,1,63,36,102,212,180,168,20,W,0.07383882225210447,Power Treads,0.9063750106157634,Magic Wand,0.9075031601739347,Force Staff,0.4164144612468704,Ring of Aquila,0.4312215910719869,Arcane Boots,0.2783964487154208,Desolator,0.9704529678500758,Anti-Mage,Vengeful Spirit
19,1,50,108,1,168,166,41,21,W,0.22762015472243247,Phase Boots,0.3191879131875158,Aghanim's Scepter,0.4429033567891858,Blink Dagger,0.08211209061745084,Desolator,0.4375209650834607,Maelstrom,0.37429008301198563,Bottle,0.26687128430402796,Anti-Mage,Windranger
20,1,232,180,108,1,190,41,22,E,0.9128909921851774,Aether Lens,0.8661211986500943,Arcane Boots,0.4185664642023157,Aghanim's Scepter,0.73461328692393,Blink Dagger,0.16504798397688636,Veil of Discord,0.8805274576613821,Bottle,0.3531858796992219,Anti-Mage,Zeus
21,1,50,141,152,145,149,36,23,Q,0.5496701146963298,Phase Boots,0.3115837692374954,Daedalus,0.8090233358169474,Shadow Blade,0.5840994387468875,Battle Fury,0.6831602980225414,Crystalys,0.001955967917505852,Magic Wand,0.9309907950786861,Anti-Mage,Kunkka
22,1,100,108,50,232,1,41,25,Q,0.8610978705428781,Eul's Scepter of Divinity,0.6965439801688423,Aghanim's Scepter,0.9973247556823019,Phase Boots,0.7626907024522778,Aether Lens,0.4983333151077095,Blink Dagger,0.9309422561003394,Bottle,0.1937615049029574,Anti-Mage,Lina
