index,herocompare,item0,item1,item2,item3,item4,item5,skill,itemhero,item_WR0,item_name0,item_WR1,item_name1,item_WR2,item_name2,item_WR3,item_name3,item_WR4,item_name4,item_WR5,item_name5,skill_WR,herocompare_name,itemhero_name
0,1,1.0,127.0,214.0,242.0,125.0,114.0,E,2,0.9243807243007973,Blink Dagger,0.8681427835392206,Blade Mail,0.708366986996942,Tranquil Boots,0.5002146223850785,Crimson Guard,0.23496193061145898,Vanguard,0.604053354826538,Heart of Tarrasque,0.7215871870335627,Anti-Mage,Axe
1,1,180.0,232.0,178.0,108.0,254.0,36.0,E,3,0.4420575899404485,Arcane Boots,0.8540751170841451,Aether Lens,0.040718430434151354,Soul Ring,0.9442855271169035,Aghanim's Scepter,0.8421278399573446,Glimmer Cape,0.7499199149574283,Magic Wand,0.08791327361034285,Anti-Mage,Bane
2,1,63.0,154.0,127.0,116.0,152.0,50.0,E,4,0.5484831302142072,Power Treads,0.9974199081785847,Sange and Yasha,0.09092286673795924,Blade Mail,0.6358502560939281,Black King Bar,0.9720986378296693,Shadow Blade,0.5927837323648456,Phase Boots,0.9900608612646774,Anti-Mage,Bloodseeker
3,1,214.0,1.0,254.0,36.0,108.0,116.0,E,5,0.9432343120903238,Tranquil Boots,0.9143037673431743,Blink Dagger,0.4830582037043025,Glimmer Cape,0.6194182859287185,Magic Wand,0.6279973824823177,Aghanim's Scepter,0.3030845888533874,Black King Bar,0.32804069361577226,Anti-Mage,Crystal Maiden
4,1,63.0,152.0,164.0,212.0,141.0,172.0,W,6,0.37944690790239155,Power Treads,0.7370293158912284,Shadow Blade,0.8655065724589155,Helm of the Dominator,0.8711944533378435,Ring of Aquila,0.190501369068946,Daedalus,0.7004868427393999,Mask of Madness,0.22144207470946853,Anti-Mage,Drow Ranger
5,1,1.0,180.0,108.0,36.0,102.0,178.0,E,7,0.36408983525504124,Blink Dagger,0.677794550774983,Arcane Boots,0.9529805140031121,Aghanim's Scepter,0.22450289758265674,Magic Wand,0.15445033324221713,Force Staff,0.8362128309484099,Soul Ring,0.9074246692585164,Anti-Mage,Earthshaker
6,1,50.0,145.0,108.0,154.0,172.0,147.0,W,8,0.6665197762456583,Phase Boots,0.6231732909637729,Battle Fury,0.7138915714926145,Aghanim's Scepter,0.7024125207061742,Sange and Yasha,0.3358263095015107,Mask of Madness,0.9931434315342986,Manta Style,0.026077960582142623,Anti-Mage,Juggernaut
7,1,63.0,212.0,50.0,36.0,147.0,166.0,W,9,0.31982852591876265,Power Treads,0.6337480619051271,Ring of Aquila,0.39597571079857885,Phase Boots,0.6273668970765898,Magic Wand,0.7044746757982826,Manta Style,0.4575803304622301,Maelstrom,0.7374995830847542,Anti-Mage,Mirana
8,1,63.0,123.0,212.0,176.0,147.0,160.0,W,10,0.6329715347140485,Power Treads,0.735994953736391,Linken's Sphere,0.4178960222151604,Ring of Aquila,0.336917859481904,Ethereal Blade,0.7966168311172102,Manta Style,0.010080877644165653,Eye of Skadi,0.6561129273606778,Anti-Mage,Morphling
9,1,63.0,116.0,152.0,41.0,154.0,164.0,W,11,0.9929448351829903,Power Treads,0.328743929322169,Black King Bar,0.8872030565801128,Shadow Blade,0.9822247546785854,Bottle,0.5865416350632979,Sange and Yasha,0.2548037772570446,Helm of the Dominator,0.4559353310820544,Anti-Mage,Shadow Fiend
